# 15, 4.94,  5, -3.6032143491206812, -2.3060571834372361
# 15, 4.94, 10, -6.4952576087417748, -4.1569648695947361
# 15, 4.94, 15, -8.9069748118523790, -5.7004638795855236
# 15, 4.94, 18, -10.2431673868576176, -6.5556271275888758
# 60, 9.89,  5, -1.3868908664378452, -0.8876101545202210
# 60, 9.89, 10, -2.5221633108169681, -1.6141845189228596
# 60, 9.89, 15, -3.5384305396274192, -2.2645955453615483
# 60, 9.89, 18, -3.9934085298511501, -2.5557814591047361
15, 4.94,  5, -3.6907066090066034
15, 4.94, 10, -6.9703231430260999
15, 4.94, 15, -8.2925050120734927 #froze
15, 4.94, 18, -9.4468432029463134 #froze
60, 9.89,  5, -2.4798183813759938
60, 9.89, 10, -3.6817427414056905
60, 9.89, 15, -4.5537667291730219
60, 9.89, 18, -5.1045066135826609
